Fuel Type,r2,MSE
Diesel,0.9964558545180406,0.00021742139669457417
Ethanol (E85),0.9948443617150509,0.00017097950131547468
Natural Gas,0.9314946509702475,0.007198451703511796
Prm. Gasoline,0.993874827946618,9.412821392684273e-05
Reg. Gasoline,0.9947000881324849,0.00013276760178466558
